133828,"{266415745, 216832912, 755867673, 312658848, 124955304, 229326251, 307007276, 514279469, 96223405, 437645362, 189657267, 203766715, 189166652, 471773501, 259742142, 584895, 423624123, 12429633, 154726081, 578370884, 487354565, 41161, 110341847, 94320473, 296954084, 178036335, 111087344, 356339, 446959098, 495246971, 177931647}"
136030,"{633664, 11659649, 39924226, 3433218, 6367969, 703430, 89871303, 2511208, 1825832, 908, 940, 46927544, 27084463, 18808658, 131152787, 11151060, 4277077, 7365688}"
137534,"{1098451, 1263103}"
142498,"{19320834, 578775180, 45092365, 75511693, 30408465, 157786644, 362277909, 496539931, 276746269, 381925149, 310712863, 214157217, 23486500, 44345381, 91319078, 45524392, 18069672, 22650537, 1354543, 191914162, 6631731, 151934262, 1246520, 12099779, 5142212, 268126789, 20479816, 8015433, 111469770, 12894539, 93128780, 140323914, 2007374, 54028366, 12349898, 11487313, 581404755, 176604245, 413598551, 9081177, 135152734, 14741730, 140531559, 6755048, 461484016, 260897271, 185115000, 260944251}"
153381,set()
154091,"{27825793, 44098802}"
154158,set()
157107,"{313115833, 41699221, 2092582}"
157234,"{630802978, 412285125, 786547814, 132052294, 321081708, 693268, 145990975}"
160626,"{248480, 15134113, 15244195}"
173115,set()
176290,"{10764346, 22480653, 2248087}"
182924,{294752544}
185246,"{175485225, 317609578, 559439717, 192416278}"
191970,"{127714507, 443549021}"
199011,"{188268864, 384398149, 1891815, 41161, 22861933, 119373779, 49881020}"
201002,{2029186}
205521,"{233808514, 252044163, 374723332, 488878597, 566101126, 163290760, 156019211, 20711186, 22631059, 38914452, 2053907, 6454035, 44571414, 29283864, 511433619, 409690009, 9726875, 2556958, 550229882, 630802978, 761817891, 3206051, 97605798, 437326887, 34722217, 362026, 269769770, 123779116, 24020144, 428486962, 86683446, 4766904, 300108985, 93258810, 321544379, 155722043, 214920892, 98638911, 218557766, 434834758, 33739847, 581056199, 190016718, 200723025, 167740754, 271864919, 535009752, 22862553, 162487769, 283215195, 318073692, 380461019, 198590428, 103474655, 107260897, 70468706, 559333098, 37920237, 421997431, 468947065, 259942010, 455081853, 20150271}"
206038,"{2951424, 68249953, 296319555, 172591620, 176951716, 18542054, 26868552, 199279, 6530003, 24052663, 12078331, 8131323}"
209843,"{9907661, 100748806, 157090143}"
209939,"{126472707, 25951126}"
213111,"{118828632, 10762889, 30571027, 1785932}"
218893,set()
219123,"{391366309, 466064486, 435590570, 276017930, 452179919, 204319097}"
220783,set()
225425,"{5963437, 624566}"
225988,"{527166, 245121332, 158992900, 374723332}"
226134,set()
226229,"{49894561, 163705250, 210597729, 211584452, 546380226, 310179974, 453855945, 511433, 15020107, 354554924, 235518541, 169820144, 169127091, 262568244, 755290614, 524741463, 21001913, 395067899}"
228898,"{97541019, 58109965, 8318287, 71386999, 235120667, 77958783}"
231053,{655244750}
233912,"{332002818, 62525827, 34816516, 11831430, 132700550, 364987533, 325697682, 99087381, 101722775, 152995355, 48807710, 241030942, 832161, 298627367, 230658473, 6631731, 421123636, 21626164, 156932154, 166896316, 54131832, 3184575, 342483392, 16909128, 400528086, 95903323, 120762589, 191280605, 66764767, 219859165, 159319137, 323097314, 137288033, 139648094, 14741730, 5200872, 310321516, 156236529, 149589493, 22096757, 133581688, 85748476, 139262334}"
237526,set()
246170,{511691234}
248480,set()
250937,set()
251230,"{39131592, 1425349}"
251387,set()
252564,"{19101955, 65574180, 467632936, 4492, 126951281}"
255044,{479074473}
256487,set()
263654,"{275095938, 343076996, 583572485, 443987084, 372282700, 176264726}"
264348,set()
264594,{163884387}
268162,"{583791330, 664274919, 486401895, 535976591, 699077055}"
274344,{18267683}
275922,"{371222789, 8040231, 360523624, 204373936, 38647603, 348653787, 19686271}"
278179,set()
278665,"{71863205, 58361477, 69600046, 470778160, 114503606, 224625497, 53017884}"
280307,"{133708761, 230101597}"
281469,{27602942}
282677,"{10571032, 49831396, 4895335}"
284545,{601259976}
289858,set()
292904,set()
294985,set()
297208,"{278695040, 844420, 10688005, 116939652, 6396936, 12469133, 355706648, 555732255, 312658848, 50967840, 13022626, 30044835, 15244195, 128871333, 386958246, 18081321, 204345642, 1017260, 38961, 67040575, 70934214, 41166153, 110395089, 185676248, 201579998, 154130409, 4133236, 514677877, 37019256, 468947065, 9669115, 235704060, 55168382, 500735}"
297400,{5013796}
300396,{61480903}
300415,set()
301962,"{414675040, 469032962, 64012483, 79876136, 28607500, 307391214, 167239632, 361295798, 226972599, 11987256, 230697657, 535507869}"
304335,"{177268897, 542571172}"
306688,"{2287168, 1486629, 2990727, 462053802, 62065194, 155185740, 135078541, 489917425, 49066163, 137262197, 5019606, 2720504, 322105852, 90012671}"
312868,"{153985441, 50365570, 9021476, 109857188, 335724005, 36540489, 6299917, 68374927, 68502546, 316646674, 65627062, 129404503, 41039928, 325414490, 334624251, 37610716, 41196926}"
322533,"{515749729, 136993927, 25539623, 7143177, 136025899, 7913773, 1354543, 191168369, 133145459, 61360595, 530609403, 11077309, 3138463}"
331166,"{242284417, 487916038, 356244230, 8503049, 482765196, 364987533, 498872590, 75511693, 422822033, 160761363, 189598228, 451680534, 156322455, 500116631, 303123358, 277385887, 276136994, 16754851, 151189673, 268475179, 29284015, 215545519, 31365244, 8801970, 661517621, 176312375, 4478264, 53223485, 662205, 119888705, 436494658, 83143497, 65941583, 155197648, 518112336, 52498133, 569819610, 266965596, 336101472, 714334945, 1575140, 35429095, 194419947, 100281964, 494926829, 205323628, 260046315, 387828976, 121415025, 757780209, 32117, 670809978, 33260668, 372878717}"
336312,{16857690}
336584,"{514578944, 439483395, 378705031, 351394843, 8604331, 144096332, 306961003, 97973166, 300681615, 152424528, 509793213, 414896755, 282681524, 246212373, 32741494, 193660377, 588783003, 454444445}"
338210,"{1496640, 146682737, 50411635, 482151091, 69916051, 198716255}"
338404,"{292896, 40575349, 284061}"
346440,"{22837539, 17321795, 17838310, 15773112, 6755048, 2472393, 1667700, 10731286, 294190168, 5001498, 1488189, 20048733}"
351845,"{405448192, 94253570, 6637200, 214454805, 226933270, 63271447, 35546133, 241445792, 2768170, 269226411, 54218924, 250436267, 37201323, 145530667, 490012867, 82863319, 129118942, 311457122, 212951927}"
356339,"{34240775, 261450134, 59998744, 70374682, 387075483, 70572960, 621089, 433952291, 414905639, 171456170, 51978416, 104221360, 586779059, 189657267, 9381821, 4610493, 133828, 266486863, 35956827, 14739037, 362697312, 226310757, 180166760, 345161962, 12259818, 135172590, 21390708, 142632820, 39057534, 13430399}"
357481,"{12469133, 381717646, 426524303, 368399, 306532881, 332132240, 7412244, 312658848, 294589988, 334559012, 164087860, 65289807, 90562006, 119984095, 31558630, 141865456, 475918192, 296954871, 42854266}"
359357,{5786477}
359375,"{39246343, 7093149, 153805175}"
359549,"{64874624, 895722, 936779, 137177681, 213190299}"
362026,"{406927131, 186710243, 90317380, 22388869, 173067909, 528809543, 444514086, 99544037, 282910154, 24441230, 205521, 605386098, 189725235, 8187413, 16791513, 409666235, 340259998}"
366894,"{234344203, 4206350, 58949782, 8867607, 32306584, 35617440, 78365986, 73757863, 125922600, 73762346, 3059756, 2440750, 137185721, 5753660, 90462015, 15222086, 12246346, 61360595, 134794580, 180166760, 120206955, 174829167, 26670586, 77958783}"
367241,"{201726180, 18282724, 7141450, 526851850, 1354543, 163330418, 470422868, 747264406, 171946518, 583646614, 548398777, 267860959}"
368399,"{9296501, 357481, 141682701, 3884919}"
371869,set()
373679,"{466064486, 371949607, 454946505, 468883627, 462512305, 462335185, 458985394, 397077525}"
373873,"{1241088, 39320580, 576645, 228498091, 159072631}"
386351,set()
392404,"{69654150, 54852459, 343878063, 8194356, 232292950, 21586429}"
399945,set()
402773,set()
404628,"{179266883, 512319335, 50768200, 39245163, 364987533, 108397679, 425694682, 23677588, 280683637, 89952436, 229688730, 242500348}"
407335,{14141457}
408657,set()
410134,"{238568259, 179358574}"
419278,set()
